"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5,C8,C10,C13,C14,C15,C16,C18,C20,C21","12","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","10u","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~"
"C6,C11,C19,C22","4","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C12","2","10U","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~"
"C9","1","4.7u","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~"
"D1,D4,D6","3","LTST-C170KRKT","","","","LTST-C170KRKT:DIOC200X125X110",""
"D2,D5","2","LTST-C170KGKT","","","","LTST-C170KGKT:DIOC200X125X110",""
"D3","1","LTST-C170TBKT","","","","LTST-C170TBKT:DIOC200X125X110",""
"F1","1","Polyfuse","","","","Resistor_THT:R_Radial_Power_L11.0mm_W7.0mm_P5.00mm","~"
"J1","1","SS-52400-003","","","","SS-52400-003:BELFUSE_SS-52400-003",""
"J2","1","B2B-PH-SM4-TB","","","","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB",""
"J3","1","GSD090012SEU","","","","GSD090012SEU:AMPHENOL_GSD090012SEU",""
"J4","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"MK1","1","CMC-5042PF-AC","","","","CMC-5042PF-AC:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","TEMT6000X01:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1,R2,R6,R19,R32,R33,R34","7","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","5k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R9,R10,R14,R18","6","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","22K1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","47K5","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R16,R17,R22","4","50","","","","Resistor_SMD:R_0805_2012Metric","~"
"R23,R30","2","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R24,R25","2","4K7","","","","Resistor_SMD:R_0805_2012Metric","~"
"R26,R28","2","2K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R27,R29","2","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R31","1","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"S1","1","Boot","","","","USLPT2819DT2TR:SW_USLPT2819DT2TR",""
"S2","1","Reset","","","","USLPT2819DT2TR:SW_USLPT2819DT2TR",""
"TP1","1","Test MOSI","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP2","1","Test MISO","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP3","1","Test SCLK","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP4","1","Test CS_SD","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP5","1","Test CS","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"U2","1","BME280","","","","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf"
"U3","1","ESP32-C3-WROOM-02","","","","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf"
"U5","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U6","1","W25Q32JVSS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf"
"U7","1","MAX4466EXK","","","","MAX4466EXK:SOT65P210X110-5N",""
"U8","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm_ThermalVias","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"VR1","1","LM1117MPX-3.3","","","","LM1117MPX-3.3:VREG_LM1117MPX-3.3",""
